Date,Sentiment_Score,Positive,Negative,Neutral,Total_Sentences,Drift_Score,US2Y,US10Y,SP500_Ret,US2Y_Change,US10Y_Change
2000-02-02,0.1666666666666666,2,1,3,6,0.0,6.63,6.6,-0.0114,3.000000000000025,-2.000000000000046
2000-03-21,0.0,1,1,4,6,0.0410270104929451,6.5,6.13,2.5566,-1.9999999999999574,-4.999999999999982
2000-05-16,-0.1666666666666666,1,2,3,6,0.1862896675869491,6.89,6.43,0.9419000000000001,0.9999999999999787,-4.0000000000000036
2000-06-28,0.6,3,0,2,5,0.7376126664646576,6.43,6.11,0.2944,-7.000000000000028,1.0000000000000675
2000-08-22,0.2,2,1,2,5,0.2517733491748849,6.27,5.78,-0.09,-1.0000000000000675,-0.9999999999999787
2000-10-03,0.4285714285714285,4,1,2,7,0.2993396297421717,6.0,5.87,-0.6803,1.9999999999999574,4.0000000000000036
2000-11-15,0.8,4,0,1,5,0.3288513107994607,5.9,5.72,0.496,-1.9999999999999574,-4.0000000000000036
2000-12-19,0.0,1,1,3,5,0.7048229940252448,5.35,5.19,-1.2958,1.9999999999999574,2.000000000000046
2001-01-03,-0.1428571428571428,1,2,4,7,0.7155524142857392,4.92,5.14,5.0099,4.999999999999982,21.999999999999975
2001-01-31,-0.25,2,4,2,8,0.4377336267842634,4.62,5.19,-0.562,-8.000000000000007,-4.999999999999982
2001-03-20,-0.375,1,4,3,8,0.5479168277063715,4.24,4.78,-2.4077,-8.000000000000007,-4.0000000000000036
2001-04-18,-0.3,2,5,3,10,0.5688791358338317,4.26,5.14,3.8890000000000002,-15.000000000000036,-7.000000000000028
2001-05-15,-0.1111111111111111,3,4,2,9,0.168344184525411,4.28,5.5,0.0416,-0.9999999999999787,4.0000000000000036
2001-06-27,-0.1428571428571428,2,3,2,7,0.4338566666335768,4.06,5.26,-0.46759999999999996,2.999999999999936,1.9999999999999574
2001-08-21,-0.1428571428571428,2,3,2,7,0.1635813555014811,3.69,4.87,-1.208,-5.000000000000027,-4.0000000000000036
2001-09-17,-0.125,2,3,3,8,0.4643780464887032,2.96,4.63,-4.921600000000001,-56.999999999999986,-20.999999999999996
2001-10-02,-0.2857142857142857,1,3,3,7,0.2888173872148019,2.77,4.53,1.2306,-4.999999999999982,-1.9999999999999574
2001-11-06,-0.1666666666666666,1,2,3,6,0.3075941364234428,2.37,4.3,1.4526000000000001,-8.999999999999986,-0.9999999999999787
2001-12-11,-0.2857142857142857,1,3,3,7,0.2656618715003851,3.03,5.13,-0.2781,-7.000000000000028,-4.0000000000000036
2002-01-30,0.1666666666666666,2,1,3,6,0.5201984984983967,3.06,5.02,1.1748,1.000000000000023,0.0
2002-03-19,0.4285714285714285,3,0,4,7,0.734994117764895,3.64,5.33,0.4067,-2.9999999999999805,0.9999999999999787
2002-05-07,0.6,3,0,2,5,0.2383819425846345,3.14,5.09,-0.3021,-4.999999999999982,-0.9999999999999787
2002-06-26,0.6666666666666666,4,0,2,6,0.1543988292083785,2.77,4.75,-0.2674,-14.999999999999991,-12.99999999999999
2002-08-13,0.0,1,1,3,5,0.45604623085347,2.0,4.12,-2.1675,-10.000000000000009,-9.999999999999964
2002-09-24,0.1428571428571428,2,1,4,7,0.233070905796167,1.93,3.69,-1.7284000000000002,0.0,-1.000000000000023
2002-11-06,0.125,3,2,3,8,0.4002817879052927,1.87,4.09,0.9143999999999999,5.000000000000004,-0.9999999999999787
2002-12-10,0.2,2,1,2,5,0.2628670220966324,1.9,4.06,1.3957000000000002,2.0000000000000018,0.0
2003-01-29,0.2,2,1,2,5,0.4678661840357327,1.77,4.06,0.6779000000000001,7.000000000000006,5.999999999999961
2003-03-18,0.0,1,1,6,8,0.3565192111222305,1.72,3.91,0.4242,9.000000000000007,9.00000000000003
2003-05-06,0.0,3,3,2,8,0.5557850994704181,1.45,3.84,0.8462000000000001,-10.000000000000009,-8.000000000000007
2003-06-25,0.4545454545454545,6,1,4,11,0.4851291380147562,1.3,3.38,-0.8267,16.000000000000014,8.999999999999986
2003-08-12,0.375,5,2,1,8,0.3971279139505885,1.71,4.37,0.9953,-10.000000000000009,-0.9999999999999787
2003-09-16,0.375,5,2,1,8,0.0515889290602319,1.63,4.29,1.4298,0.0,0.9999999999999787
2003-10-28,0.375,5,2,1,8,0.0317082425787104,1.71,4.23,1.5187000000000002,-12.00000000000001,-6.99999999999994
2003-12-09,0.25,4,2,2,8,0.2508071611036038,1.97,4.32,-0.8529,3.0000000000000027,3.000000000000025
2004-01-28,0.3333333333333333,5,2,2,9,0.2051266471247058,1.87,4.22,-1.361,17.000000000000014,10.999999999999943
2004-03-16,0.1111111111111111,4,3,2,9,0.1011143905880054,1.51,3.7,0.5623,-5.000000000000004,-7.999999999999963
2004-05-04,0.75,6,0,2,8,0.2596781033988696,2.32,4.56,0.1843,-2.0000000000000018,2.999999999999936
2004-06-30,0.7777777777777778,7,0,2,9,0.3750520043230358,2.7,4.62,0.4084,-12.99999999999999,-8.000000000000007
2004-08-10,0.6363636363636364,8,1,2,11,0.1522204845125601,2.55,4.32,1.2973999999999999,9.999999999999964,4.0000000000000036
2004-09-21,0.7777777777777778,7,0,2,9,0.1534805015742959,2.49,4.05,0.6327,3.000000000000025,-2.000000000000046
2004-11-10,0.5555555555555556,5,0,4,9,0.0925989111691294,2.82,4.25,-0.1005,2.0000000000000018,3.000000000000025
2004-12-14,0.4545454545454545,5,0,6,11,0.2098891622908884,2.99,4.14,0.3921,1.000000000000023,-2.000000000000046
2005-02-02,0.625,5,0,3,8,0.2499505376943938,3.32,4.15,0.31779999999999997,2.9999999999999805,0.0
2005-03-22,0.75,6,0,2,8,0.1546877419360709,3.86,4.63,-1.0196,13.999999999999968,9.999999999999964
2005-05-03,0.5555555555555556,6,1,2,9,0.1303670666596779,3.68,4.21,-0.0852,4.0000000000000036,0.0
2005-06-30,0.7142857142857143,5,0,2,7,0.1085179506435563,3.66,3.94,-0.7101,1.000000000000023,-5.000000000000027
2005-08-09,0.7142857142857143,5,0,2,7,0.1142487453049755,4.13,4.41,0.6745,-3.000000000000025,-0.9999999999999787
2005-09-20,0.0909090909090909,5,4,2,11,0.290669116972243,4.0,4.26,-0.7863,6.999999999999984,0.9999999999999787
2005-11-01,0.1428571428571428,3,2,2,7,0.2546447504627585,4.42,4.58,-0.35209999999999997,1.9999999999999574,0.9999999999999787
2005-12-13,0.2857142857142857,3,1,3,7,0.265707667282155,4.43,4.54,0.5554,-2.000000000000046,-1.9999999999999574
2006-01-31,0.3333333333333333,3,1,2,6,0.1780630735017072,4.54,4.53,-0.3984,2.000000000000046,-0.9999999999999787
2006-03-28,0.4285714285714285,4,1,2,7,0.3166606997323284,4.81,4.79,-0.6438,8.999999999999986,8.999999999999986
2006-05-10,0.7142857142857143,5,0,2,7,0.2047678735188449,5.01,5.13,-0.17279999999999998,4.0000000000000036,0.0
2006-06-29,0.625,5,0,3,8,0.217732831835503,5.21,5.22,2.1565000000000003,-8.000000000000007,-3.000000000000025
2006-08-08,0.0,1,1,2,4,0.2987594841954027,4.91,4.93,-0.3363,-4.999999999999982,0.0
2006-09-20,0.5,2,0,2,4,0.149880251072825,4.81,4.73,0.5211,1.9999999999999574,-0.9999999999999787
2006-10-25,0.2,2,1,2,5,0.1332287083033527,4.88,4.78,0.35140000000000005,-3.000000000000025,-4.999999999999982
2006-12-12,0.2,2,1,2,5,0.0692143547958362,4.61,4.49,-0.1047,-5.999999999999961,-2.999999999999936
2007-01-31,0.6666666666666666,4,0,2,6,0.389938491348477,4.94,4.83,0.6593,-4.0000000000000036,-4.999999999999982
2007-03-21,0.1666666666666666,3,2,1,6,0.3278261994658483,4.51,4.53,1.7081,-8.999999999999986,-2.999999999999936
2007-05-09,0.1666666666666666,3,2,1,6,0.0516319345680105,4.73,4.67,0.32230000000000003,5.000000000000071,4.0000000000000036
2007-06-18,0.5714285714285714,5,1,1,7,0.1428004200682524,5.01,5.15,-0.1213,-4.0000000000000036,-0.9999999999999787
2007-08-07,0.625,6,1,1,8,0.2163957568361673,4.56,4.77,0.6159,9.999999999999964,4.999999999999982
2007-08-10,-0.3333333333333333,0,1,2,3,0.9369362771539076,4.47,4.81,0.0379,-2.000000000000046,1.9999999999999574
2007-08-17,0.3333333333333333,1,0,2,3,0.908048571312178,4.18,4.68,2.4566999999999997,9.999999999999964,8.000000000000007
2007-09-18,0.1428571428571428,3,2,2,7,0.5920230382977332,4.0,4.5,2.9208000000000003,-8.000000000000007,1.9999999999999574
2007-10-31,0.25,3,1,4,8,0.2495883460624699,3.94,4.48,1.1991999999999998,12.00000000000001,8.000000000000007
2007-12-11,-0.125,2,3,3,8,0.2389982522162689,2.94,3.98,-2.5271,-23.0,-17.000000000000036
2008-01-22,-0.375,1,4,3,8,0.4692197928954587,2.08,3.52,-1.1085,-27.99999999999998,-14.000000000000012
2008-01-30,-0.1428571428571428,2,3,2,7,0.3256906245963756,2.3,3.78,-0.4764,0.9999999999999787,8.999999999999986
2008-03-11,0.2857142857142857,5,1,8,14,0.921684927221632,1.74,3.6,3.7130000000000005,27.0,14.000000000000012
2008-03-18,-0.0909090909090909,4,5,2,11,0.9065742841061846,1.58,3.48,4.2410000000000005,23.0,14.000000000000012
2008-04-30,-0.1,3,4,3,10,0.1468203420107088,2.29,3.77,-0.3846,-6.000000000000005,-8.000000000000007
2008-06-25,0.125,4,3,1,8,0.3214488820383724,2.82,4.12,0.5843,-5.000000000000027,2.000000000000046
2008-08-05,0.0,3,3,2,8,0.1749124615594538,2.54,4.04,2.8719,1.000000000000023,6.000000000000005
2008-09-16,-0.2222222222222222,2,4,3,9,0.2973548463570491,1.89,3.48,1.7514999999999998,10.999999999999988,0.9999999999999787
2008-10-08,-0.2666666666666666,4,8,3,15,0.828993269566264,1.65,3.72,-1.1333,17.999999999999993,22.00000000000002
2008-10-29,-0.25,2,4,2,8,0.6044551942799485,1.58,3.93,-1.1079,-6.999999999999984,4.0000000000000036
2008-12-16,-0.1428571428571428,4,6,4,14,0.5980742853620196,0.65,2.37,5.136,-9.999999999999998,-15.99999999999997
2009-01-28,-0.0714285714285714,5,6,3,14,0.4035968325177682,0.89,2.71,3.3558,2.0000000000000018,12.00000000000001
2009-03-18,0.0833333333333333,6,5,1,12,0.4000453089828399,0.82,2.51,2.0858000000000003,-23.00000000000001,-51.00000000000002
2009-04-29,-0.0769230769230769,4,5,4,13,0.2663149082802368,0.94,3.12,2.161,-1.0000000000000009,7.000000000000028
2009-06-24,0.25,6,3,3,12,0.2248841118218054,1.19,3.72,0.6524,5.000000000000004,7.000000000000028
2009-08-12,0.0769230769230769,5,4,4,13,0.106587415839978,1.18,3.72,1.1525,-3.0000000000000027,1.000000000000023
2009-09-23,0.3333333333333333,6,2,4,12,0.1246473835384818,0.96,3.44,-1.0069,-6.000000000000005,-2.0000000000000018
2009-11-04,0.2307692307692307,6,3,4,13,0.1008840923367557,0.91,3.57,0.1043,-1.0000000000000009,6.999999999999984
2009-12-16,0.0,5,5,5,15,0.3907964762222456,0.85,3.61,0.11280000000000001,-3.0000000000000027,0.9999999999999787
2010-01-27,-0.0666666666666666,4,5,6,15,0.1566294985299572,0.9,3.66,0.488,3.0000000000000027,1.000000000000023
2010-03-16,0.0,4,4,3,11,0.3204028099203507,0.93,3.66,0.7779,-2.9999999999999916,-4.999999999999982
2010-04-28,-0.2,3,5,2,10,0.1130913433960355,1.03,3.8,0.6463,0.0,8.999999999999986
2010-06-23,-0.5,2,7,1,10,0.9372363246410308,0.66,3.13,-0.2985,-4.999999999999993,-5.000000000000027
2010-08-10,-0.5,1,7,4,12,0.2789081132430225,0.52,2.79,-0.5967,-2.0000000000000018,-6.999999999999984
2010-09-21,-0.3846153846153846,3,8,2,13,0.2091206012590819,0.43,2.61,-0.25639999999999996,-3.9999999999999982,-11.000000000000032
2010-11-03,-0.1764705882352941,5,8,4,17,0.3054022893939316,0.34,2.67,0.36779999999999996,0.0,4.0000000000000036
2010-12-14,-0.3333333333333333,3,8,4,15,0.0819790691592606,0.66,3.49,0.0911,5.000000000000004,20.000000000000018
2011-01-26,-0.3076923076923077,3,7,3,13,0.1284761993106294,0.62,3.45,0.4221,0.0,10.000000000000009
2011-03-15,0.0,5,5,4,14,0.2212749616358483,0.63,3.33,-1.1199999999999999,2.0000000000000018,-2.9999999999999805
2011-04-27,0.2857142857142857,7,3,4,14,0.0988172371988639,0.65,3.39,0.625,0.0,5.000000000000027
2011-06-22,0.0666666666666666,5,4,6,15,0.3085235721524263,0.39,3.01,-0.6467999999999999,-1.0000000000000009,1.9999999999999574
2011-08-09,-0.1111111111111111,5,7,6,18,0.184894216597843,0.19,2.2,4.7406999999999995,-8.000000000000002,-19.99999999999997
2011-09-21,-0.0952380952380952,5,7,9,21,0.3952881804801542,0.21,1.88,-2.9391,3.0,-7.000000000000006
2011-11-02,-0.2,4,7,4,15,0.2671504414164392,0.23,2.03,1.6105,0.0,2.0000000000000018
2011-12-13,-0.0769230769230769,4,5,4,13,0.1436442757666398,0.24,1.96,-0.8685999999999999,0.0,-6.999999999999984
2012-01-25,-0.0833333333333333,4,5,3,12,0.1760291629637728,0.22,2.01,0.8672,-1.9999999999999991,-7.000000000000028
2012-03-13,0.2142857142857142,7,4,3,14,0.1507003207875348,0.35,2.14,1.8132,1.9999999999999962,10.000000000000009
2012-04-25,0.1333333333333333,7,5,3,15,0.0581025035248572,0.26,2.01,1.3644999999999998,-1.0000000000000009,0.9999999999999787
2012-06-20,-0.1111111111111111,6,8,4,18,0.3369070700652401,0.32,1.65,-0.1686,2.0000000000000018,1.0000000000000009
2012-08-01,-0.2857142857142857,4,8,2,14,0.2877771631706618,0.24,1.56,-0.303,0.9999999999999981,5.000000000000004
2012-09-13,0.1666666666666666,8,5,5,18,0.3396068142173745,0.24,1.75,1.6310000000000002,-1.0000000000000009,-2.0000000000000018
2012-10-24,0.1764705882352941,8,5,4,17,0.0714896436812116,0.29,1.8,-0.3085,0.0,1.0000000000000009
2012-12-12,0.1428571428571428,8,5,8,21,0.2055053370101404,0.25,1.72,0.0448,1.0000000000000009,6.000000000000005
2013-01-30,0.2222222222222222,8,4,6,18,0.1258055918883456,0.27,2.03,-0.38999999999999996,-2.9999999999999973,0.0
2013-03-20,0.2222222222222222,8,4,6,18,0.0526979575372723,0.26,1.96,0.6698,2.0000000000000018,4.0000000000000036
2013-05-01,0.0526315789473684,7,6,6,19,0.0277299715199983,0.2,1.66,-0.9308000000000001,-1.9999999999999991,-4.0000000000000036
2013-06-19,0.0,6,6,6,18,0.0450259207025374,0.31,2.33,-1.3852,3.9999999999999982,12.99999999999999
2013-07-31,0.1111111111111111,7,5,6,18,0.0448974436583963,0.31,2.6,-0.0136,-2.0000000000000018,-2.9999999999999805
2013-09-18,0.2631578947368421,9,4,6,19,0.1205999969141191,0.34,2.69,1.2178,-4.999999999999999,-16.999999999999993
2013-10-30,0.3,10,4,6,20,0.0265350582932073,0.33,2.55,-0.48760000000000003,2.0000000000000018,2.0000000000000018
2013-12-18,0.0909090909090909,8,6,8,22,0.1249689377159734,0.32,2.89,1.6648,-2.0000000000000018,4.0000000000000036
2014-01-29,0.217391304347826,10,5,8,23,0.0443111955989334,0.36,2.69,-1.0209,-2.0000000000000018,-8.000000000000007
2014-03-19,0.0769230769230769,9,7,10,26,0.1035359806981139,0.47,2.78,-0.6132000000000001,10.999999999999998,9.999999999999964
2014-04-30,0.08,9,7,9,25,0.0492907650785066,0.42,2.67,0.29919999999999997,-2.0000000000000018,-4.0000000000000036
2014-06-18,0.2083333333333333,10,5,9,24,0.0393276508571912,0.48,2.61,0.7719,-3.0000000000000027,-5.000000000000027
2014-07-30,0.2083333333333333,10,5,9,24,0.0662008890899565,0.56,2.57,0.0060999999999999995,2.0000000000000018,9.999999999999964
2014-09-17,0.04,9,8,8,25,0.054783314769416,0.59,2.62,0.1296,3.9999999999999925,2.0000000000000018
2014-10-29,0.217391304347826,11,6,6,23,0.2087764827588453,0.48,2.34,-0.13849999999999998,6.0,4.0000000000000036
2014-12-17,0.238095238095238,10,5,6,21,0.2175560537351423,0.62,2.14,2.0351999999999997,4.0000000000000036,7.000000000000028
2015-01-28,0.238095238095238,10,5,6,21,0.2014698792349043,0.5,1.73,-1.3496,-4.0000000000000036,-10.000000000000009
2015-03-18,0.1904761904761904,9,5,7,21,0.161572950981424,0.57,1.93,1.2158,-13.0,-13.00000000000001
2015-04-29,0.2105263157894736,9,5,5,19,0.1616298834300285,0.56,2.06,-0.374,0.0,6.000000000000005
2015-06-17,0.2777777777777778,9,4,5,18,0.0942990050101008,0.67,2.32,0.198,-3.9999999999999925,0.0
2015-07-29,0.2777777777777778,9,4,5,18,0.0407776876073243,0.7,2.29,0.7319,1.0000000000000009,3.000000000000025
2015-09-17,0.1578947368421052,8,5,6,19,0.0564447830119907,0.7,2.21,-0.2561,-12.0,-8.999999999999986
2015-10-28,0.1111111111111111,7,5,6,18,0.046958024085749,0.73,2.1,1.184,7.9999999999999964,5.000000000000027
2015-12-16,0.3684210526315789,10,3,6,19,0.2694580990355857,1.02,2.3,1.4515,4.0000000000000036,2.0000000000000018
2016-01-27,0.1578947368421052,7,4,8,19,0.1630492919991317,0.84,2.02,-1.0864,-1.0000000000000009,1.000000000000023
2016-03-16,0.3,9,3,8,20,0.0909956166105989,0.87,1.94,0.5599999999999999,-10.999999999999998,-3.0000000000000027
2016-04-27,0.3,9,3,8,20,0.0823483469161517,0.83,1.87,0.16490000000000002,-3.0000000000000027,-6.999999999999984
2016-06-15,0.2,8,4,8,20,0.0950432116516205,0.69,1.6,-0.18409999999999999,-5.000000000000004,-2.0000000000000018
2016-07-27,0.3333333333333333,10,3,8,21,0.089078776046884,0.73,1.52,-0.11989999999999999,-2.0000000000000018,-5.000000000000004
2016-09-21,0.4285714285714285,11,2,8,21,0.0857961187643134,0.79,1.66,1.0917,0.0,-3.0000000000000027
2016-11-02,0.4285714285714285,11,2,8,21,0.0405745134567754,0.81,1.81,-0.6525000000000001,-1.9999999999999907,-2.0000000000000018
2016-12-14,0.3,9,3,8,20,0.0882557095731565,1.27,2.54,-0.8116999999999999,10.000000000000009,6.000000000000005
2017-02-01,0.3,9,3,8,20,0.1628307117995135,1.22,2.48,0.029799999999999997,3.0000000000000027,2.9999999999999805
2017-03-15,0.4210526315789473,9,1,9,19,0.1080824404420319,1.33,2.51,0.8375,-6.999999999999984,-9.00000000000003
2017-05-03,0.238095238095238,8,3,10,21,0.1052386598253019,1.3,2.33,-0.1271,3.0000000000000027,4.0000000000000036
2017-06-14,0.2,7,3,10,20,0.2067887897178159,1.35,2.15,-0.0996,-2.9999999999999805,-6.000000000000005
2017-07-26,0.1578947368421052,6,3,10,19,0.0623175045730417,1.36,2.29,0.0283,-3.9999999999999813,-4.0000000000000036
2017-09-20,0.05,6,5,9,20,0.2203939164234986,1.45,2.28,0.0634,5.000000000000004,3.999999999999959
2017-11-01,0.15,7,4,9,20,0.1334950225026032,1.61,2.37,0.1592,1.0000000000000009,-0.9999999999999787
2017-12-13,0.2222222222222222,7,3,8,18,0.1591774817756015,1.79,2.36,-0.0473,-4.0000000000000036,-4.0000000000000036
2018-01-31,0.25,6,2,8,16,0.1582038067512101,2.14,2.72,0.0489,1.000000000000023,-0.9999999999999787
2018-03-21,0.1111111111111111,6,4,8,18,0.0822488137196447,2.31,2.89,-0.18439999999999998,-2.9999999999999805,0.0
2018-05-02,0.2352941176470588,6,2,9,17,0.0574067332361782,2.49,2.97,-0.7206,-0.9999999999999787,0.0
2018-06-13,0.3076923076923077,5,1,7,13,0.1739935310412983,2.59,2.98,-0.4026,4.999999999999982,2.0000000000000018
2018-08-01,0.2307692307692307,4,1,8,13,0.1052053166161165,2.67,3.0,-0.104,0.0,4.0000000000000036
2018-09-26,0.1666666666666666,3,1,8,12,0.049938574834717,2.83,3.06,-0.32889999999999997,0.0,-4.0000000000000036
2018-11-08,0.1666666666666666,3,1,8,12,0.1191893660917148,2.98,3.24,-0.2509,2.0000000000000018,2.0000000000000018
2018-12-19,0.1666666666666666,3,1,8,12,0.0646238927229728,2.63,2.77,-1.5396,-2.0000000000000018,-4.999999999999982
2019-01-30,0.0833333333333333,3,2,7,12,0.2262266730084148,2.52,2.7,1.5549,-4.0000000000000036,-2.0000000000000018
2019-03-20,-0.3333333333333333,1,5,6,12,0.1570113265227556,2.4,2.54,-0.2944,-6.000000000000005,-6.999999999999984
2019-05-01,-0.1666666666666666,2,4,6,12,0.0947788757263248,2.31,2.52,-0.7502,4.0000000000000036,1.000000000000023
2019-06-19,-0.0833333333333333,3,4,5,12,0.175482268870294,1.74,2.03,0.2985,-12.00000000000001,-3.000000000000025
2019-07-31,-0.0769230769230769,4,5,4,13,0.1148205858633181,1.89,2.02,-1.0886,3.9999999999999813,-4.0000000000000036
2019-09-18,-0.1666666666666666,3,5,4,12,0.0907624471442646,1.77,1.8,0.0343,5.000000000000004,-1.0000000000000009
2019-10-11,0.25,4,0,12,16,0.9423978452085846,1.63,1.76,1.0939,9.999999999999986,9.000000000000007
2019-10-30,-0.25,2,5,5,12,0.9176954334379316,1.61,1.78,0.3253,-2.9999999999999805,-6.000000000000005
2019-12-11,-0.1666666666666666,2,4,6,12,0.0828660094470798,1.61,1.79,0.2908,-3.9999999999999813,-6.000000000000005
2020-01-29,-0.1666666666666666,2,4,6,12,0.093693398734853,1.42,1.6,-0.0867,-3.0000000000000027,-4.999999999999982
2020-03-03,-0.1666666666666666,1,2,3,6,0.6349685879928201,0.71,1.02,-2.8108,-13.0,-8.000000000000007
2020-03-23,0.3684210526315789,7,0,12,19,0.5879493340404097,0.28,0.76,-2.9294000000000002,-8.999999999999996,-16.000000000000004
2020-03-31,0.3333333333333333,3,0,6,9,0.7575660292587858,0.23,0.7,-1.6013,0.0,0.0
2020-04-29,-0.0666666666666666,4,5,6,15,0.8562042704873992,0.2,0.63,2.6584,0.0,1.0000000000000009
2020-06-10,0.0666666666666666,5,4,6,15,0.055969496756559,0.17,0.75,-0.5313,-3.0,-8.999999999999996
2020-07-29,0.0625,5,4,7,16,0.0747512175224647,0.12,0.58,1.2428,-2.0000000000000018,-1.0000000000000009
2020-09-16,0.125,6,4,6,16,0.2811368401146457,0.14,0.69,-0.4619,0.0,0.9999999999999898
2020-11-05,0.1176470588235294,6,4,7,17,0.1287046933018987,0.14,0.79,1.9460000000000002,0.0,1.0000000000000009
2020-12-16,0.1764705882352941,7,4,6,17,0.0851957896819364,0.13,0.92,0.1773,2.0000000000000004,0.0
2021-01-27,0.1764705882352941,7,4,6,17,0.0968691777208775,0.12,1.04,-2.5678,0.9999999999999996,-1.0000000000000009
2021-03-17,0.2941176470588235,8,3,6,17,0.0581080768334602,0.13,1.63,0.2879,-1.9999999999999991,0.9999999999999787
2021-04-28,0.4444444444444444,10,2,6,18,0.0702611651744515,0.17,1.63,-0.0846,0.0,0.0
2021-06-16,0.5555555555555556,11,1,6,18,0.0600898685555567,0.21,1.57,-0.539,4.999999999999999,6.000000000000005
2021-07-28,0.6666666666666666,12,0,6,18,0.0781732555632851,0.2,1.26,-0.0186,0.0,1.0000000000000009
2021-09-22,0.5789473684210527,12,1,6,19,0.0722794255823325,0.25,1.32,0.9520000000000001,3.0,-1.0000000000000009
2021-11-03,0.4090909090909091,12,3,7,22,0.1716938443500834,0.47,1.6,0.6461,0.9999999999999953,4.0000000000000036
2021-12-15,0.05,7,6,7,20,0.1198485895176035,0.69,1.47,1.6348000000000003,1.9999999999999907,3.0000000000000027
2022-01-26,0.0526315789473684,6,5,8,19,0.1833483505945037,1.13,1.85,-0.1497,10.999999999999988,7.000000000000006
2022-03-16,-0.1428571428571428,3,5,6,14,0.437126638600242,1.95,2.19,2.2384,9.999999999999986,4.0000000000000036
2022-05-04,-0.2941176470588235,2,7,8,17,0.1793160275695747,2.66,2.93,2.9862,-11.999999999999966,-4.0000000000000036
2022-06-15,-0.1875,3,6,7,16,0.1094776096846222,3.2,3.33,1.4593,-25.0,-16.000000000000014
2022-07-27,-0.2857142857142857,2,6,6,14,0.2557642250332916,2.96,2.78,2.6155999999999997,-6.000000000000005,-3.000000000000025
2022-09-21,-0.1428571428571428,3,5,6,14,0.0488721664819856,4.02,3.51,-1.7117,5.999999999999961,-6.000000000000005
2022-11-02,-0.1176470588235294,3,5,9,17,0.1126357243467039,4.61,4.1,-2.5002,7.000000000000028,2.999999999999936
2022-12-14,-0.1176470588235294,3,5,9,17,0.0440690877151089,4.23,3.49,-0.6053000000000001,1.0000000000000675,-1.9999999999999574
2023-02-01,0.125,4,2,10,16,0.187725934936186,4.09,3.39,1.0452,-12.00000000000001,-12.99999999999999
2023-03-22,0.2631578947368421,6,1,12,19,0.1887262800369716,3.96,3.48,-1.6462999999999999,-20.999999999999996,-10.999999999999988
2023-05-03,0.1111111111111111,4,2,12,18,0.0848904243911399,3.89,3.38,-0.6998,-8.000000000000007,-6.000000000000005
2023-06-14,0.1111111111111111,4,2,12,18,0.0567461782753252,4.74,3.83,0.0819,7.000000000000028,-0.9999999999999787
2023-07-26,0.1111111111111111,4,2,12,18,0.0600746992679269,4.82,3.86,-0.0155,-2.999999999999936,-5.000000000000027
2023-09-20,0.1111111111111111,4,2,12,18,0.0556762527157314,5.12,4.35,-0.9395,4.0000000000000036,-2.000000000000046
2023-11-01,0.1111111111111111,4,2,12,18,0.0550868432312975,4.95,4.77,1.0506,-12.00000000000001,-11.000000000000032
2023-12-13,0.0,3,3,12,18,0.0506697265612146,4.46,4.04,1.3651,-27.000000000000046,-16.000000000000014
2024-01-31,0.125,4,2,10,16,0.3282250444826808,4.27,3.99,-1.6105999999999998,-9.000000000000075,-6.99999999999994
2024-03-20,0.125,4,2,10,16,0.0424327715502982,4.59,4.27,0.8904000000000001,-8.999999999999986,-3.000000000000025
2024-05-01,0.0,4,4,11,19,0.1452890292115161,4.96,4.63,-0.3435,-8.000000000000007,-6.00000000000005
2024-06-12,0.1176470588235294,5,3,9,17,0.1025407819741719,4.75,4.31,0.8503999999999999,-5.999999999999961,-8.000000000000007
2024-07-31,0.1111111111111111,5,3,10,18,0.139577609797675,4.29,4.09,1.5793000000000001,-5.999999999999961,-6.00000000000005
2024-09-18,0.0666666666666666,4,3,8,15,0.2050719791575643,3.61,3.7,-0.2896,2.0000000000000018,5.000000000000027
2024-11-07,0.2,4,1,10,15,0.115580493309327,4.21,4.31,0.7431,-5.999999999999961,-11.000000000000032
2024-12-18,0.2,4,1,10,15,0.0415463688998184,4.35,4.5,-2.9493,9.999999999999964,9.999999999999964
